epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.456,1.03513,1.43281,1.34015,0.80988,0.44551,0.49763,0.40018,1.23018,inf,0.90718,0.0668496,0.000166585,0.000166585
2,485.038,0.84506,1.20818,1.18597,0.85836,0.47796,0.594,0.51385,1.00492,inf,0.80566,0.0336797,0.000329952,0.000329952
3,710.85,0.77553,1.11696,1.12657,0.86418,0.49638,0.62159,0.54712,0.92855,inf,0.79322,0.0005064,0.00049002,0.00049002
4,930.67,0.741,1.07953,1.10965,0.86393,0.49345,0.61727,0.54381,0.9513,inf,0.78792,0.00048515,0.00048515,0.00048515
5,1148.55,0.73033,1.04899,1.09681,0.86364,0.49059,0.60857,0.53428,0.97127,inf,0.79483,0.0004802,0.0004802,0.0004802
6,1373.89,0.71462,1.03992,1.09122,0.8593,0.49112,0.61437,0.5415,0.93901,inf,0.79368,0.00047525,0.00047525,0.00047525
7,1601.52,0.70837,1.02252,1.0883,0.86459,0.49537,0.61767,0.54559,0.92841,inf,0.78854,0.0004703,0.0004703,0.0004703
8,1820.49,0.69917,1.00461,1.07948,0.85779,0.49299,0.61562,0.54392,0.91256,inf,0.78543,0.00046535,0.00046535,0.00046535
9,2048.11,0.69284,1.00201,1.07339,0.85651,0.49366,0.61755,0.5483,0.91265,inf,0.79067,0.0004604,0.0004604,0.0004604
